,Year,Month,Price($) per Dozen (All Types),Price per Dozen (Table),Year,Month,State,State Identifier,Egg Type,Production in Dozens
14,2016,JAN,1.18,0.969,2016,JAN,MARYLAND,24,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",166700
15,2016,JAN,1.18,0.969,2016,JAN,MARYLAND,24,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",5658400
16,2016,JAN,1.18,0.969,2016,JAN,MINNESOTA,27,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",550000
17,2016,JAN,1.18,0.969,2016,JAN,MINNESOTA,27,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",18041700
18,2016,JAN,1.18,0.969,2016,JAN,MISSISSIPPI,28,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",6925000
19,2016,JAN,1.18,0.969,2016,JAN,MISSISSIPPI,28,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",3008300
20,2016,JAN,1.18,0.969,2016,JAN,NEBRASKA,31,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
21,2016,JAN,1.18,0.969,2016,JAN,NEBRASKA,31,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",15341700
22,2016,JAN,1.18,0.969,2016,JAN,NORTH CAROLINA,37,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",12208300
23,2016,JAN,1.18,0.969,2016,JAN,NORTH CAROLINA,37,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",14941700
24,2016,JAN,1.18,0.969,2016,JAN,OREGON,41,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
25,2016,JAN,1.18,0.969,2016,JAN,OREGON,41,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",5175000
26,2016,JAN,1.18,0.969,2016,JAN,PENNSYLVANIA,42,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",2600000
27,2016,JAN,1.18,0.969,2016,JAN,PENNSYLVANIA,42,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",54233300
28,2016,JAN,1.18,0.969,2016,JAN,SOUTH CAROLINA,45,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1958300
29,2016,JAN,1.18,0.969,2016,JAN,SOUTH CAROLINA,45,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",6141600
30,2016,JAN,1.18,0.969,2016,JAN,SOUTH DAKOTA,46,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
31,2016,JAN,1.18,0.969,2016,JAN,SOUTH DAKOTA,46,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",3283300
32,2016,JAN,1.18,0.969,2016,JAN,UTAH,49,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
33,2016,JAN,1.18,0.969,2016,JAN,UTAH,49,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",8416700
34,2016,JAN,1.18,0.969,2016,JAN,VIRGINIA,51,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",2633300
35,2016,JAN,1.18,0.969,2016,JAN,VIRGINIA,51,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",2891700
36,2016,FEB,1.08,0.85,2016,FEB,ALABAMA,1,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",11091700
37,2016,FEB,1.08,0.85,2016,FEB,ALABAMA,1,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",3066700
38,2016,FEB,1.08,0.85,2016,FEB,ARKANSAS,5,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",15058300
39,2016,FEB,1.08,0.85,2016,FEB,ARKANSAS,5,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",8300000
40,2016,FEB,1.08,0.85,2016,FEB,FLORIDA,12,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",308300
41,2016,FEB,1.08,0.85,2016,FEB,FLORIDA,12,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",16125000
42,2016,FEB,1.08,0.85,2016,FEB,GEORGIA,13,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",16008300
43,2016,FEB,1.08,0.85,2016,FEB,GEORGIA,13,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",19741700
44,2016,FEB,1.08,0.85,2016,FEB,ILLINOIS,17,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",350000
45,2016,FEB,1.08,0.85,2016,FEB,ILLINOIS,17,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",9483400
46,2016,FEB,1.08,0.85,2016,FEB,INDIANA,18,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1358300
47,2016,FEB,1.08,0.85,2016,FEB,INDIANA,18,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",56191700
48,2016,FEB,1.08,0.85,2016,FEB,IOWA,19,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1341700
49,2016,FEB,1.08,0.85,2016,FEB,IOWA,19,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",76583400
50,2016,FEB,1.08,0.85,2016,FEB,MARYLAND,24,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",141700
51,2016,FEB,1.08,0.85,2016,FEB,MARYLAND,24,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",5300000
52,2016,FEB,1.08,0.85,2016,FEB,MINNESOTA,27,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",508300
53,2016,FEB,1.08,0.85,2016,FEB,MINNESOTA,27,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",16916700
54,2016,FEB,1.08,0.85,2016,FEB,MISSISSIPPI,28,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",6416700
55,2016,FEB,1.08,0.85,2016,FEB,MISSISSIPPI,28,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",2750000
56,2016,FEB,1.08,0.85,2016,FEB,NEBRASKA,31,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
57,2016,FEB,1.08,0.85,2016,FEB,NEBRASKA,31,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",15966700
58,2016,FEB,1.08,0.85,2016,FEB,NORTH CAROLINA,37,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",11275000
59,2016,FEB,1.08,0.85,2016,FEB,NORTH CAROLINA,37,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",13408300
60,2016,FEB,1.08,0.85,2016,FEB,OREGON,41,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
61,2016,FEB,1.08,0.85,2016,FEB,OREGON,41,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",5225000
62,2016,FEB,1.08,0.85,2016,FEB,PENNSYLVANIA,42,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",2316600
63,2016,FEB,1.08,0.85,2016,FEB,PENNSYLVANIA,42,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",52291700
64,2016,FEB,1.08,0.85,2016,FEB,SOUTH CAROLINA,45,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1808300
65,2016,FEB,1.08,0.85,2016,FEB,SOUTH CAROLINA,45,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",6041700
66,2016,FEB,1.08,0.85,2016,FEB,SOUTH DAKOTA,46,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
67,2016,FEB,1.08,0.85,2016,FEB,SOUTH DAKOTA,46,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",3483300
68,2016,FEB,1.08,0.85,2016,FEB,UTAH,49,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
69,2016,FEB,1.08,0.85,2016,FEB,UTAH,49,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",8233400
70,2016,FEB,1.08,0.85,2016,FEB,VIRGINIA,51,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",2483400
71,2016,FEB,1.08,0.85,2016,FEB,VIRGINIA,51,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",2541600
72,2016,MAR,0.97,0.731,2016,MAR,ALABAMA,1,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",11916700
73,2016,MAR,0.97,0.731,2016,MAR,ALABAMA,1,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",3300000
74,2016,MAR,0.97,0.731,2016,MAR,ARKANSAS,5,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",16091700
75,2016,MAR,0.97,0.731,2016,MAR,ARKANSAS,5,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",8458300
76,2016,MAR,0.97,0.731,2016,MAR,FLORIDA,12,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",416700
77,2016,MAR,0.97,0.731,2016,MAR,FLORIDA,12,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",16616700
78,2016,MAR,0.97,0.731,2016,MAR,GEORGIA,13,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",17183400
79,2016,MAR,0.97,0.731,2016,MAR,GEORGIA,13,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",20466700
80,2016,MAR,0.97,0.731,2016,MAR,ILLINOIS,17,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",375000
81,2016,MAR,0.97,0.731,2016,MAR,ILLINOIS,17,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",10358400
82,2016,MAR,0.97,0.731,2016,MAR,INDIANA,18,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1533300
83,2016,MAR,0.97,0.731,2016,MAR,INDIANA,18,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",62116600
84,2016,MAR,0.97,0.731,2016,MAR,IOWA,19,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1416700
85,2016,MAR,0.97,0.731,2016,MAR,IOWA,19,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",87766700
86,2016,MAR,0.97,0.731,2016,MAR,MARYLAND,24,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",158300
87,2016,MAR,0.97,0.731,2016,MAR,MARYLAND,24,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",5625000
88,2016,MAR,0.97,0.731,2016,MAR,MINNESOTA,27,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",541700
89,2016,MAR,0.97,0.731,2016,MAR,MINNESOTA,27,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",18166700
90,2016,MAR,0.97,0.731,2016,MAR,MISSISSIPPI,28,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",6833400
91,2016,MAR,0.97,0.731,2016,MAR,MISSISSIPPI,28,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",2958300
92,2016,MAR,0.97,0.731,2016,MAR,NEBRASKA,31,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
93,2016,MAR,0.97,0.731,2016,MAR,NEBRASKA,31,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",18291700
94,2016,MAR,0.97,0.731,2016,MAR,NORTH CAROLINA,37,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",11950000
95,2016,MAR,0.97,0.731,2016,MAR,NORTH CAROLINA,37,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",13825000
96,2016,MAR,0.97,0.731,2016,MAR,OREGON,41,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
97,2016,MAR,0.97,0.731,2016,MAR,OREGON,41,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",5558300
98,2016,MAR,0.97,0.731,2016,MAR,PENNSYLVANIA,42,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",2600000
99,2016,MAR,0.97,0.731,2016,MAR,PENNSYLVANIA,42,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",57408300
100,2016,MAR,0.97,0.731,2016,MAR,SOUTH CAROLINA,45,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1958300
101,2016,MAR,0.97,0.731,2016,MAR,SOUTH CAROLINA,45,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",7025000
102,2016,MAR,0.97,0.731,2016,MAR,SOUTH DAKOTA,46,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
103,2016,MAR,0.97,0.731,2016,MAR,SOUTH DAKOTA,46,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",4008300
104,2016,MAR,0.97,0.731,2016,MAR,UTAH,49,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
105,2016,MAR,0.97,0.731,2016,MAR,UTAH,49,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",9033300
106,2016,MAR,0.97,0.731,2016,MAR,VIRGINIA,51,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",2716600
107,2016,MAR,0.97,0.731,2016,MAR,VIRGINIA,51,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",2816700
108,2016,APR,0.68,0.391,2016,APR,ALABAMA,1,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",11416700
109,2016,APR,0.68,0.391,2016,APR,ALABAMA,1,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",3125000
110,2016,APR,0.68,0.391,2016,APR,ARKANSAS,5,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",15708300
111,2016,APR,0.68,0.391,2016,APR,ARKANSAS,5,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",8041700
112,2016,APR,0.68,0.391,2016,APR,FLORIDA,12,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",433300
113,2016,APR,0.68,0.391,2016,APR,FLORIDA,12,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",15091700
114,2016,APR,0.68,0.391,2016,APR,GEORGIA,13,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",16891700
115,2016,APR,0.68,0.391,2016,APR,GEORGIA,13,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",18841700
116,2016,APR,0.68,0.391,2016,APR,ILLINOIS,17,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",383400
117,2016,APR,0.68,0.391,2016,APR,ILLINOIS,17,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",10075000
118,2016,APR,0.68,0.391,2016,APR,INDIANA,18,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1566600
119,2016,APR,0.68,0.391,2016,APR,INDIANA,18,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",59633400
120,2016,APR,0.68,0.391,2016,APR,IOWA,19,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1516700
121,2016,APR,0.68,0.391,2016,APR,IOWA,19,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",89291700
122,2016,APR,0.68,0.391,2016,APR,MARYLAND,24,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",158300
123,2016,APR,0.68,0.391,2016,APR,MARYLAND,24,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",5400000
124,2016,APR,0.68,0.391,2016,APR,MINNESOTA,27,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",516700
125,2016,APR,0.68,0.391,2016,APR,MINNESOTA,27,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",17800000
126,2016,APR,0.68,0.391,2016,APR,MISSISSIPPI,28,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",6608300
127,2016,APR,0.68,0.391,2016,APR,MISSISSIPPI,28,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",2841600
128,2016,APR,0.68,0.391,2016,APR,NEBRASKA,31,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
129,2016,APR,0.68,0.391,2016,APR,NEBRASKA,31,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",18241700
130,2016,APR,0.68,0.391,2016,APR,NORTH CAROLINA,37,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",11558400
131,2016,APR,0.68,0.391,2016,APR,NORTH CAROLINA,37,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",12983300
132,2016,APR,0.68,0.391,2016,APR,OREGON,41,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
133,2016,APR,0.68,0.391,2016,APR,OREGON,41,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",5258300
134,2016,APR,0.68,0.391,2016,APR,PENNSYLVANIA,42,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",2750000
135,2016,APR,0.68,0.391,2016,APR,PENNSYLVANIA,42,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",55375000
136,2016,APR,0.68,0.391,2016,APR,SOUTH CAROLINA,45,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1933300
137,2016,APR,0.68,0.391,2016,APR,SOUTH CAROLINA,45,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",6408300
138,2016,APR,0.68,0.391,2016,APR,SOUTH DAKOTA,46,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
139,2016,APR,0.68,0.391,2016,APR,SOUTH DAKOTA,46,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",3950000
140,2016,APR,0.68,0.391,2016,APR,UTAH,49,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
141,2016,APR,0.68,0.391,2016,APR,UTAH,49,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",8608300
142,2016,APR,0.68,0.391,2016,APR,VIRGINIA,51,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",2616700
143,2016,APR,0.68,0.391,2016,APR,VIRGINIA,51,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",2641700
144,2016,MAY,0.552,0.242,2016,MAY,ALABAMA,1,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",11741700
145,2016,MAY,0.552,0.242,2016,MAY,ALABAMA,1,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",3050000
146,2016,MAY,0.552,0.242,2016,MAY,ARKANSAS,5,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",15800000
147,2016,MAY,0.552,0.242,2016,MAY,ARKANSAS,5,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",8383300
148,2016,MAY,0.552,0.242,2016,MAY,FLORIDA,12,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",416700
149,2016,MAY,0.552,0.242,2016,MAY,FLORIDA,12,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",15758400
150,2016,MAY,0.552,0.242,2016,MAY,GEORGIA,13,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",17666700
151,2016,MAY,0.552,0.242,2016,MAY,GEORGIA,13,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",18883400
152,2016,MAY,0.552,0.242,2016,MAY,ILLINOIS,17,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",425000
153,2016,MAY,0.552,0.242,2016,MAY,ILLINOIS,17,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",10533300
154,2016,MAY,0.552,0.242,2016,MAY,INDIANA,18,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1716700
155,2016,MAY,0.552,0.242,2016,MAY,INDIANA,18,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",60741700
156,2016,MAY,0.552,0.242,2016,MAY,IOWA,19,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1775000
157,2016,MAY,0.552,0.242,2016,MAY,IOWA,19,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",99091700
158,2016,MAY,0.552,0.242,2016,MAY,MARYLAND,24,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",175000
159,2016,MAY,0.552,0.242,2016,MAY,MARYLAND,24,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",5366700
160,2016,MAY,0.552,0.242,2016,MAY,MINNESOTA,27,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",533400
161,2016,MAY,0.552,0.242,2016,MAY,MINNESOTA,27,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",18616700
162,2016,MAY,0.552,0.242,2016,MAY,MISSISSIPPI,28,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",6833300
163,2016,MAY,0.552,0.242,2016,MAY,MISSISSIPPI,28,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",2933300
164,2016,MAY,0.552,0.242,2016,MAY,NEBRASKA,31,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
165,2016,MAY,0.552,0.242,2016,MAY,NEBRASKA,31,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",19050000
166,2016,MAY,0.552,0.242,2016,MAY,NORTH CAROLINA,37,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",12133400
167,2016,MAY,0.552,0.242,2016,MAY,NORTH CAROLINA,37,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",13333400
168,2016,MAY,0.552,0.242,2016,MAY,OREGON,41,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
169,2016,MAY,0.552,0.242,2016,MAY,OREGON,41,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",5291700
170,2016,MAY,0.552,0.242,2016,MAY,PENNSYLVANIA,42,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",2900000
171,2016,MAY,0.552,0.242,2016,MAY,PENNSYLVANIA,42,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",55516600
172,2016,MAY,0.552,0.242,2016,MAY,SOUTH CAROLINA,45,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",2033300
173,2016,MAY,0.552,0.242,2016,MAY,SOUTH CAROLINA,45,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",6391700
174,2016,MAY,0.552,0.242,2016,MAY,SOUTH DAKOTA,46,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
175,2016,MAY,0.552,0.242,2016,MAY,SOUTH DAKOTA,46,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",4175000
176,2016,MAY,0.552,0.242,2016,MAY,UTAH,49,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",0
177,2016,MAY,0.552,0.242,2016,MAY,UTAH,49,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",8916700
178,2016,MAY,0.552,0.242,2016,MAY,VIRGINIA,51,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",2683300
179,2016,MAY,0.552,0.242,2016,MAY,VIRGINIA,51,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",2675000
180,2016,JUN,0.541,0.231,2016,JUN,ALABAMA,1,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",11283300
181,2016,JUN,0.541,0.231,2016,JUN,ALABAMA,1,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",2791700
182,2016,JUN,0.541,0.231,2016,JUN,ARKANSAS,5,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",14800000
183,2016,JUN,0.541,0.231,2016,JUN,ARKANSAS,5,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",8000000
184,2016,JUN,0.541,0.231,2016,JUN,FLORIDA,12,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",366700
185,2016,JUN,0.541,0.231,2016,JUN,FLORIDA,12,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",15416700
186,2016,JUN,0.541,0.231,2016,JUN,GEORGIA,13,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",17133400
187,2016,JUN,0.541,0.231,2016,JUN,GEORGIA,13,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",18058400
188,2016,JUN,0.541,0.231,2016,JUN,ILLINOIS,17,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",408400
189,2016,JUN,0.541,0.231,2016,JUN,ILLINOIS,17,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",10450000
190,2016,JUN,0.541,0.231,2016,JUN,INDIANA,18,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1541700
191,2016,JUN,0.541,0.231,2016,JUN,INDIANA,18,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",58058300
192,2016,JUN,0.541,0.231,2016,JUN,IOWA,19,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",1791700
193,2016,JUN,0.541,0.231,2016,JUN,IOWA,19,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",97866700
194,2016,JUN,0.541,0.231,2016,JUN,MARYLAND,24,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",175000
195,2016,JUN,0.541,0.231,2016,JUN,MARYLAND,24,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",5191600
196,2016,JUN,0.541,0.231,2016,JUN,MINNESOTA,27,"EGGS, HATCHING - PRODUCTION, MEASURED IN DOZEN",491600
197,2016,JUN,0.541,0.231,2016,JUN,MINNESOTA,27,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",18258300
